"""please help me as soon as possible so I can have an account and get credit card""","""is there a way to get a credit card if I have a new bank account""",cards
"""how to get finance""","""it easy just go to eccp website and ask for finance""",loans
"""please help me as soon as possible so I can have an account and get credit card""","""is there a way to get a credit card if I have a new bank account""",cards
"""how to get finance""","""it easy just go to eccp website and ask for finance""",loans
"""please help me as soon as possible so I can have an account and get credit card""","""is there a way to get a credit card if I have a new bank account""",cards
"""how to get finance""","""it easy just go to eccp website and ask for finance""",loans
"""please help me as soon as possible so I can have an account and get credit card""","""is there a way to get a credit card if I have a new bank account""",cards
"""how to get finance""","""it easy just go to eccp website and ask for finance""",loans
"""please help me as soon as possible so I can have an account and get credit card""","""is there a way to get a credit card if I have a new bank account""",cards
"""how to get finance""","""it easy just go to eccp website and ask for finance""",loans
